loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1654828991.899967,158,639283.5239415417,-0.02203369140625,-0.252960205078125,-0.9193878173828125,639283.4914425417,0.3383447527885437,0.7822942137718201,0.01799817569553852
1654828991.934999,159,639283.5576915417,0.0131378173828125,-0.2734222412109375,-0.961700439453125,639283.5251915418,0.1859424412250519,0.6053397059440613,0.03060717694461346
1654828991.964996,160,639283.5914415417,0.020355224609375,-0.2646484375,-0.9629364013671875,639283.5589415417,0.1474483162164688,0.5903722047805786,0.0376025028526783
1654828991.999988,161,639283.6251905417,0.030059814453125,-0.2881622314453125,-0.9395599365234375,639283.6264405417,0.07672646641731262,0.4417792856693268,0.04483405128121376
1654828992.038029,162,639283.6589405417,0.036895751953125,-0.31695556640625,-0.9019775390625,639283.6264405417,0.07672646641731262,0.4417792856693268,0.04483405128121376
1654828992.079113,163,639283.6926901251,0.051605224609375,-0.2409210205078125,-0.8823699951171875,639283.6601905418,-0.1063884943723679,0.1898074895143509,-0.03376275673508644
1654828992.099943,164,639283.726439125,0.009857177734375,-0.200347900390625,-0.8878326416015625,639283.6939401251,-0.3922758996486664,-0.2883236706256866,-0.02644439041614532
1654828992.135175,165,639283.7601891251,-0.03369140625,-0.20263671875,-1.025344848632812,639283.7614391251,-0.7438541650772095,-0.9318445920944214,0.1564149111509323
1654828992.16998,166,639283.793939125,-0.06268310546875,-0.1685333251953125,-1.177841186523438,639283.7614391251,-0.7438541650772095,-0.9318445920944214,0.1564149111509323
1654828992.204955,167,639283.8276881251,-0.0923004150390625,-0.1388092041015625,-1.071075439453125,639283.795189125,-0.3139384984970093,-0.3719312250614166,0.08014756441116333
1654828992.238176,168,639283.861438125,-0.0622100830078125,-0.1717681884765625,-0.96881103515625,639283.8289381251,-0.03914979845285416,0.02548298984766006,-0.009985788725316525
1654828992.279075,169,639283.8951881251,-0.0106353759765625,-0.1961517333984375,-0.9598846435546875,639283.862688125,-0.06462825834751129,-0.06532680988311768,-0.154437243938446
1654828992.305014,170,639283.928937125,-0.0062713623046875,-0.1751861572265625,-0.9833526611328125,639283.8964381251,-0.1503040194511414,-0.252769410610199,-0.1785923838615417
1654828992.33999,171,639283.9626871251,-0.0702972412109375,-0.150146484375,-0.9718780517578125,639283.9639371251,-0.3315089643001556,-0.5860450863838196,0.09084122627973557
1654828992.369974,172,639283.996437125,-0.116302490234375,-0.135650634765625,-1.041732788085938,639283.9639371251,-0.3315089643001556,-0.5860450863838196,0.09084122627973557
